SINNO ID,use_sectors,Innovation name in Swedish,Description in Swedish,Additional Info,innovation_type,bioeconomy_vision,notes
7440001,12,,"Trämelass. Trämelassen består av de mest lättlösliga substanserna i vedråvaran för skivframställning, vilka går i lösning i tillverkningsprocessen och inblandas i processvattnet. Sedan mitten av 1960-talet återvinnes substanserna, koncentreras och torkas samt ges en viss efterbehandling som gör dem lämpliga som bl a kreatursfoder. Produkten är alltså dels rent kreatursfoder och dels en ingående ingredients i kreatursfoder.",,204,0,check article
7441001,2,,Maskinsystem för småskalig avverkning av energiskog (ESO).,Utvecklat på uppdrag,0,0,check article
7446001,2,,Maskinsystem för storskalig avverkning av energiskog (ESO) i företrädesvis våtmark. I systemet ingår både skördare och buntare. ,Utvecklat på uppdrag,0,2,check article
7447001,2,Skogsjan,Gripprocessor. ,,0,0,check article
7448001,2,Aktiv Skotten 758,Skogsmaskin med ovan nämnda gripprocessor. ,,0,0,check article
7452001,2,,Markberedare med grävarm som effektivt gör rent beredningsytan från hinder. Innovationen är egentligen monteringen av en grävarm på en redan existerande beredare. En liten skopa sitter på en utskjutbar arm. Den har en räckvidd på åtta meter i en halvcirkel. Markberedaren gör sig bäst i de ritkigt oländiga terrängerna. ,Röjer oländig terräng.,9,2,"check article, contributes to pushin harvest frontier"
7453001,2,Skogis,"Gallringsskotare. Skotaren väger endast 500 kg, är banddriven och hydrauliskt midjestyrd, vilket gör den smidig och framkomlig även i tät skog. Skotaren påminner väldigt mycket om en skoter till utformningen. ",Lätt.,9,2,"check article, contributes to pushin harvest frontier"
7456001,2012,Autopos,"Datorstyrd kantautomat där brädämnena mäts uppifrån med modulerat infrarött ljus, på en längsgående transportör. På grundval av mätdata och data i kundtabellerna väljs bästa breddinställning i efterföljande kantverk. Kantautomaten kompletterar det tidigare kantautomatprogrammet ""Edgar"" och ""opti Edgar"". ",Effektivitet (i tidig gallring); lönsamhet för användaren; enkelhet,"601, 204, 103, 0",0,check article
7461001,20,Paraweb Black Belt,Band för surrning av sågat och hyvlat virke på järnvägsvagn. Bandet är av polyester och är belagt med polyetenplast. Minimerar nötningsskador på virket samt är beständigt oavsett om det är varmt eller kallt. Surrningstiden för en vagn minskas till hälften. ,"Beständiga, minskar skador på virket, snabbsurrade.",112,2,"check article, good example of clear bv2"
7466001,20,DOS-300,"Kapsåg som med sin kombination av snabbhet och precision minskar virkesåtgången i företagets träindustri  med ca 7 procent. Kapen är styrd av fem datorer. Maskinen räknar snabbt och med stor precision ut exakt hur bra eller dålig en sändning med virke är. Den mäter, sorterar, kapar och transporterar virket. ","Utvecklat för egna behov, sedemera såld.","112,103,204","2,3,0",check article
7470001,20,Skogstruck JH 125,"Skogstruck. Prisbilligt alternativ för att transportera virke i gallringsbestånd, samt älgar under älgjakten och övriga sysslori skogsbruket där det kan vara behov av mindre och billigare alternativ istället för att låsa kapital i dyra maskiner. ",,9,2,check article
7471001,20,,"Motorredskap för tyngre terrängtransporter. Ursprungligen konstruerades redskapet för transport av skjutna älgar. Det har dock visat sig att Älgtrac är ett nyttigt redskap i andra sammanhang. Redskapet kan köras av en person och klarar olika slags terrång. Lastkapaciteten är ca 500 kg, beroende på lastbärare. Älgtrac består av en främre styr- och motorenhet som är försedd med hjul för sturningen. Drivningen sker i den bakre delen via två drivband liknande det som finns på snöskotrar. Hjulen är boggimonterade på samma axel. ",,9,0,
7472001,2,,Plaststift för virkesmärkning.Plaststiften skjuts ut med en för ändamålet specialtillverkad häftpistol. Vid användning av plaststift slipper man det inproduktiva kontroll- och rensningsarbetet samt ökar effektiviteten inom träförädlingsindustrin. ,Ställer inte till det i sågverket som metall.,0,0,check article
7473001,20,,"Metod för att minska cirkelsågblads värmekänslighet, så att de kan göras tunnare och med mindre skärbredd. Anledningen till att man vill ha tunnare sågblad är att ju bredare blad dess då mer av virket går förlorat i spån. Metoden består i att såglbadet slitsas upp med laser i ett antal lameller. Laserskärningen görs med oscillerande stråle så att intilliggande lameller är låsta till varandra för rörelser vinkelrätt mot sågbladets plan. ",Ger mindre spill.,"112,103,204","2,3,0",check article
