sinno_id,Innovation name in Swedish,Description in Swedish,Additional Info
7494001,Safe-T-Cut,"Sprängklämma för säker kapning av kullblåsta träd. Tekniken går ut på att klämman, med en invändigt fäst sprängladdning, förs upp i trädet med hjälp av en teleskopisk glasfibertång och sedan kläms fast kring trädet där man vill kapa det. Det går även bra att aptera klämman med en kvistningsstång, som del flesta kraftdistributörer har tillgång till. Redan innan klämman förs upp i trädet har en adapter och en förlängningsstubin fästs vid den, så att det sedan är enkelt att på behörigt avstånd detonera sprängladdningen med en tändapparat. Laddningen består av pentyl och är exempelvis 15 gånger starkare än den dynamit som används inom det militära. En fördel med att all kraft går in i stammen är att man kan spränga mycket nära ledningsstolpar utan att skada dem. ",Farligt arbete vid röjning efter storm.
7497001,Scorpion,"Fordon konstruerat för skogsbruk och skotning av virke. Scorpion har 8 hjul och driver på de fyra främre och har hjälpdrift på det bakre hjulparet, som ska användas när ekipaget eventuellt kört fast. Maxhastigheten är 18 km/h vid användandet av bakre hjulparet 5 km/h. Scorpion har en hydraulisk griplastare för lastning och lossning. Styrs gör den med en hydraulisk joystick. Maskinen är liten, smidig och lättransporterad. ","Liten, smidig."
7504001,Jabo-fläcken,"Fläck-markberedare. Maskinen kan kopplas till vanlig jordbrukstraktor såväl som till en mindre skotare. Markberedaren tillverkades först i en ""enkelupplaga"" med etttre-uddigt skovelhjul men för en tid sedan lanserades ett aggregat med dubbla skovlar vilket gör att kapaciteten ökas till det dubbla. En finess med det dubbla är att man med ett enkelt handgrepp kan koppla loss markberedaren från ramen och köra enradigt om så önskas. Trots att man ökat kapaciteten med det dubbla genom två skovelhjul kan tvillingaggregatet fortfarande kopplas till en vanlig traktor eller mindre skotare. Arbetsprinicipen för fläckberedaren är att det treuddiga skovelhjulet ger en omvänd torva utan att lägga upp någon stor hög. ",
7508001,,"Elsåg för motorsågsdrivna sågverk. Elsågen håller en jämnare hastighet jämfört med en dieseldriven såg, det medför lägre bränslekostnader.",Lägre bränslekostnad
7512001,Swing Cut,Röjsåg med klinga som klarar både sly och gräs. Verktygen har två infällbara knivar som viks in när aggregatet bli överbelastat. Varje kniv är tillverkad av material som är hårt längst ut och mjukt in mot bult och bricka. Brickan är mjuk. När en kniv störs av för hård belastning böjs brickan uppåt. Man skall alltså titta på brickorna innna man drar igång sågen. Bakom en böjd bricka döljer sig något fel. ,Klarar både gräs och sly
7513001,Ecosågen,"Flyttbart cirkelsågverk. Sågdelen består av två vertikalt monterade elmotorer och på motors spindel är monterad en 400 mm sågklinga av hårdmetall. Sågklingorna arbetar alltså horisontellt och vardera klingan sågar halva snittet. Sågan kan transporteras efter en vanlig personbil. Den nya sågtekniken medför en rad fördelar. Effektbehovet minskar. Den sågade ytan blir mycket slät. Risken att klingorna nyåer fast har reducerats. Små klingor är billigare än stora. Ytterligare en fördel med denna maskin är att sågaren kan arbeta med till exempel stapling, borttagning av bakar eller framrullning av stock när sågenheten arbetar. Det ger ett omväxlande arbet. De tunga lyften har reducerats så lång som möjligt tack vare att stocken lyfts på med en hydraulisk stocklyftare. ","Lättare arbete, billigare i drift."
7514001,Starwood Qattrolam,Nytt basmaterial för snickeriindustrin.,
7515001,Cam Tool,"Barkverktyg. Barkningsverktyget blir konkurrent till barkningsmaskinen Cambio, som dominerat marknaden i 40 år. Med det nya verktyget fås: ökad tillgänglighet, minskade vedskador, ökade matningshastighet och barkplattor med lång ståndtid. Opartiska tester har visat att skador vid verktygens uppklättring har minskat med 75 % jämfört med tidigare barkverktyg. Det är hållarens dynamik och utformning som ger den lätta uppklättringen på stocken och därmed de minskade vedskadorna. ",Mindre vedskador.
7517001,Starwood Kolonn,Dekorativ pelare för såväl inom- som utomhusbruk.,
7519001,Funkoputs,"Putsmaskin. Den bärande idén är bandets bana, men även upphängningen av de arbetande delarna. Bandet, med motor och drivning, samt tryckplattornas profilklossar är en egen avskild konstruktion som hänger i maskinstativet. Detta gör att de krafter som påverkar konstruktionen blir betyldig tmindre än om varje del är separat placerad på stativet, som därför inte behöver vara så grovt dimensionerat. Bandet går runt sju rullar, inklusive drivrullen, rullarnas åplacering och vinklar för att bandet så att säga centrerar sig självt. Detta gör att man kan använda ett smalare band vilket är lättare att forma med profilklossarna. Putsningen blir bättre, bandet kommer åt överallt och risken för överavverkning blir mindre. Vid slipning av fanérmantlade komponenter är det sistnämnda särskilt viktigt. ",
7521001,Flooring Quality Inspection (FQI),"System för avsyning av laminatgolv. FQI bygger på att en datorbestämmer om den aktuella biten är godkänd eller inte. Utrustningen är integrerad i linjen, efter fräsning av laminatpanelerna. Datorn gör kvalitetskontrollen med hjälp av kameror som är riktade mot golvbitarnas långsidor, kortsidor och yta. Vid båda långsidorna finns en kamera och en laser. LAsern är riktad i vinkel mot sångsidan och ritar en linje över kanten på golvpanelen. Kameran som är riktad vinkelrätt mot laminatskivan läser av strålens längd, varje kamera tittar ungefär 3000 gånger på samma golvbit. ",
7522001,,Självrensande hyvlerifräs med vinklade skär som plogar ner i virket. Konstruktionen ger gott om ståndtid. ,Självrenande.
7523001,,Klyvfräs. Klyvfräsen ger en perfekt yta och avverkar fem millimeter. Trots att många tycket att det är ett väl tjockt snitt har klyvfräsen sålt bra. ,
7524001,,Maskin för kantputsning av assymetriska och svängda skivor. Maskinen är helt automatisk och en utveckling av den uppmärksammade kantputs som företaget tog fram för ett par år sedan. Maskinen klarar även negativa radier. Det verkligt avancerade är styrningen. Frammatningen sker förutom av vakuumplattans X- och Y-rörelse av en perifermatning framför putsaggregatet. Denna ger en stabil frammatning även vid stora format. Hela hanteringen sköts av tre servomotorer med kuggremsdrift. Skivans form programmeras in i en PC av operatören. ,Kan putsa rundade skivor.
7534001,,Ny metod att impregnera trä. I första läget gäller det järnvägsslipers. Metoden är uppfunnen i Kanada och det svenska företaget har ensamrätt i till metoden i Sverige.,
7536001,Uni-Max,Verktyg utan mellanringar för not- och sponthyvling med hydrocentrering. Inställningen sker med hjälp av en insexnyckel och breddmåttet kontrolleras med hjälp av en mätklocka. Konstruktionen innebär förenklingar för användaren.,
7544001,PP 300,Pelletspress med hög kapacitet. ,
7551001,,"Småskalig, mobil pelletspress. Pressen är marknadens minsta och billigaste. Tekniken är patenterad och bygger på dubbelkomprimering med hydrauliska cylindrar. Vanligtvis arbetar pelletspressar med kontinuerlig pressning genom en matris, vilket kräver mycket kraft och större maskiner. ",Mindre än konventionella.
7554001,Sawcommander,Dubbelspindlig klingsåg med flera individuellt ställbara klingor och en kapacitet på 180 meter per minut. Det som skiljer maskinen från andra dubbelspindliga sågar är bland annat en ny lösning för snittpassning.[par][par]De övre klingorna är individuellt ställbara för att exakt passning för de mötande snitten ska kunna ställas in. Motorn är specialutvecklad för att slippa vibrationer (se Samarbete).,Mer noggrann
7555001,,Patenterad lösning för stegdämpning i trähus. Innovationen består av en extremt kraftig gummilist som tar upp vibrationer. ,Utvecklad för att sitta i de egna husen.
7563001,Speedset,"Tvådelad fräs. Fräsen har en alldeles speciell lösning för inställning direkt i hyveln utan nycklar och mätdon. Delarna vrids mot varandra tills rätt mått har uppnåtts. En graderad skala visar med stor noggrannhet tiondelar, så det behövs ingen mätklocka för att måttet ska bli rätt. ","Lätt att ställa in, minskar ställtider."
7567001,,Klyvfräs med mycket hög hastighet. Såväl klinga som fräs är tandformade. Att de klarar de höga farterna förklaras med en unik konkav backningskurva på släppningsytan och en förstärkt eggvinkel som optimerar värmeavgången. ,Klarar höga hastigheter
7570001,,Bandsåg med helt ny typ av mycket tunt bandsågsblad vilket ger tunnare snitt och gör att det går att sträcka ett tunt band betydligt mer än ett tjockt med biehållna fördlear.,Tunnare
7570001,,Bandsåg med helt ny typ av mycket tunt bandsågsblad vilket ger tunnare snitt och gör att det går att sträcka ett tunt band betydligt mer än ett tjockt med biehållna fördlear.,Tunnare
7572001,,"Distansring som monteras invid sågklingan. Med den nya ringen kunde klingan göras 0,4 mm tunnare och genom att den går så stabilt sparades ytterligare 0,5 mm. Det betyder att kunden får ett snitt som är nästan en mm tunnare än tidigare och räknat i utbyte på flera hundratusen kubikmedet timmer som passerar så blir det en väldig massa trä.",Bättre utbyte.
7573001,,"Fixtur för slipning av speciella huggstål som Veisto använder i sina reducerare. Med fixturen kan de slipa tio stål samtidigt i en vanlig planslip.[par][par], något som anses ge bästa resultatet, men i vanliga fall är omständigt eftersom man då bara slipar ett stål åt gången.",snabbare
7574001,,Slipautomat avsed för sågkedjor som slipar alla tänder exakt likadant och skipar både skärtand och ryttare i samma cykel. Detta är en helt ny metodik. Fixeringen av länken ger en precision som ökar ståndtiden avevärt.,Hög kapacitet; precision; ökad gång- och ståndtid; exakt repeterbarhet; effektivitet
7579001,UM Chip Diverter,"Propeller som blåser upp spån och damm i utsuget så att fräsningen blir renare och mer effektiv. Genom att propellern snurrar med verktyget så uppstår ett vakuum runt området som bearbetas så att spån och damm riktas upp mot spånhuven. Detta ger bättre arbetsmiljö med mindre spån och damm, maskinen hålls renare och ståndtid förlängs eftersom verktyget inte behöver skära spånor flera gånger. Sammantaget innebär det också färre driftsavbrott, vilket i sin tur medför bättre flöde i produktionen.",Ger bättre arbetsmiljö för användaren (minskar spån och damm); håller maskinen renare; ger förlängd ståndtid
7607001,,Metod för skogsrensning som eliminerar riskerna med rotvältor och träd som fastnat i spänt läge. Metoden innebär att rotstocken kapas med hjälp av en lämpligt placerad sprängladdning.,
7614001,,Träbearbetningsverktyg som bygger på en helt ny skärprincip och består av en cylindrisk fräskropp försedd med skär.,Längre hållbarhet; ger kontinuerlig bearbetning
7726001,,Luftfiltreringsanordning för hyttförsedda arbetsfordon i dammiga miljöer som avskiljer mycket små partiklar. ,Avskiljer mindre partiklar
7740001,Sonwood,Nytt material i vilket PVC och trämjöl ingår.,Knapphet på ädelträ och plastråvaror
